gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,ChargeRatio,ServiceCount,HasPhoneService,HasInternetService,MultipleLines_Yes,MultipleLines_No,OnlineSecurity_Yes,OnlineSecurity_No,OnlineBackup_Yes,OnlineBackup_No,DeviceProtection_Yes,DeviceProtection_No,TechSupport_Yes,TechSupport_No,StreamingTV_Yes,StreamingTV_No,StreamingMovies_Yes,StreamingMovies_No,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureBucket_13-24_months,TenureBucket_25-48_months,TenureBucket_49+_months
0,0,0,0,46,1,1,74.8,3548.3,0,0.96970380182059,2,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,True,False,False,False,True,False,False,False,True,False
1,0,0,0,34,1,1,106.35,3549.25,1,1.0187786152003944,6,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,True,False,False,False,False,True,False,False,True,False
0,0,0,0,11,1,1,97.85,1105.4,1,0.9737199203908086,5,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,True,False,False,False,False,False,False,False,False,False
1,0,1,1,10,1,0,49.55,475.7,0,1.0416228715577045,2,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,False,False,True,False,False,False,True,False,False,False
0,0,1,1,70,1,1,69.2,4872.35,0,0.9941814524818618,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,False,False,False,True,True,False,False,False,False,True
0,0,1,1,17,1,0,20.75,418.25,0,0.8433950986252241,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,False,True,True,False,False
0,0,0,0,63,1,1,79.85,4861.45,0,1.0347838607822768,7,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,False,False,False,True,True,False,False,False,False,True
0,0,1,0,13,1,1,76.2,981.45,0,1.0093229405471495,6,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,False,False,False,False,False,True,False,True,False,False
0,0,0,0,49,1,1,84.5,3906.7,0,1.0598459057516574,3,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,True,False,False,False,False,True,False,False,False,True
1,0,0,0,2,1,0,49.25,97.0,0,1.0154639175257731,2,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,False,False,False,False,False,False,True,False,False,False
0,0,0,0,2,1,1,80.65,144.15,1,1.1189732917100244,2,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,True,False,False,False,False,True,False,False,False,False
1,0,0,0,52,1,1,79.75,4217.8,0,0.9832139978187681,6,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,False,False,False,True,True,False,False,False,False,True
0,0,1,1,69,1,1,64.15,4254.1,0,1.0404903504854142,5,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,False,False,False,True,True,False,False,False,False,True
0,1,0,0,43,1,1,90.25,3838.75,0,1.010941061543471,4,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,True,False,False,False,False,True,False,False,True,False
0,0,0,0,15,1,1,99.1,1426.4,1,1.0421340437464945,5,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,True,False,False,False,True,False,False,True,False,False
0,1,1,0,25,1,1,69.5,1752.65,0,0.9913559467092687,5,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,False,False,False,False,True,False,False,False,True,False
0,1,1,0,8,1,1,80.65,633.3,1,1.0187904626559294,3,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,True,False,False,False,True,False,False,False,False,False
0,1,1,1,60,1,1,74.85,4456.35,0,1.0077754215894172,6,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,False,False,True,False,True,False,False,False,False,True
1,1,0,0,18,1,1,95.45,1752.55,1,0.9803429288750679,4,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,True,False,False,False,False,True,False,True,False,False
0,0,1,1,63,1,1,99.65,6311.2,0,0.9947315882874891,5,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,True,False,True,False,True,False,False,False,False,True
1,1,1,1,66,1,1,108.45,7076.35,0,1.0114960396249477,7,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,True,False,True,False,False,True,False,False,False,True
0,0,1,1,34,1,0,24.95,894.3,0,0.9485631219948563,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,True,False,False,False,True,False
0,0,0,0,72,1,1,107.5,7853.7,0,0.9855227472401543,6,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,True,False,False,True,True,False,False,False,False,True
0,0,1,0,47,1,1,100.5,4707.1,0,1.0034840984895157,5,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,True,False,False,False,False,True,False,False,True,False
1,0,0,0,60,1,1,89.9,5450.7,0,0.9895976663547802,4,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,True,False,False,False,False,False,False,False,False,True
1,0,1,0,72,0,0,42.1,2962.0,0,1.023362592842674,3,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,False,False,False,True,False,False,False,False,False,True
0,0,1,1,18,1,1,54.4,957.1,0,1.0230905861456483,3,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,False,False,True,False,True,False,False,True,False,False
0,0,0,0,9,1,0,94.4,857.25,1,0.9910761154855643,4,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,True,False,False,False,False,True,False,False,False,False
0,0,0,0,3,1,1,75.3,244.1,0,0.925440393281442,5,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,False,False,False,False,False,True,False,False,False,False
1,0,1,0,47,1,1,78.9,3650.35,0,1.0158751900502692,3,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,True,False,True,False,False,True,False,False,True,False
0,0,0,0,31,1,0,79.2,2497.2,0,0.983181162902451,6,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,False,False,False,True,False,False,True,False,True,False
0,0,1,1,50,1,0,20.15,930.9,0,1.0822859598238264,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,False,False,True
1,0,0,0,10,1,1,79.85,887.35,0,0.8998704006310926,3,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,True,False,False,False,False,False,True,False,False,False
1,0,0,0,1,1,0,49.05,49.05,0,1.0,2,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,False,False,False,False,False,False,True,False,False,False
0,0,1,1,52,1,1,20.4,1090.65,0,0.9726309998624673,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,True,False,False,False,True
1,1,1,1,64,1,1,111.6,7099.0,0,1.006113537117904,7,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,True,False,False,True,False,False,False,False,False,True
1,0,1,1,62,1,1,24.25,1424.6,0,1.0553839674294538,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,False,False,True
0,0,0,1,3,1,1,64.5,177.4,0,1.0907553551296505,4,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,False,False,False,False,False,False,False,False,False,False
0,1,0,0,56,1,0,110.5,6139.5,0,1.0078996660965878,7,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,True,False,True,False,False,True,False,False,False,True
0,0,0,0,46,1,0,55.65,2688.85,0,0.9520426948323634,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,False,False,True,False,True,False,False,False,True,False
0,0,1,1,8,1,0,54.65,482.25,0,0.9065837221358216,3,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,False,False,False,False,False,False,True,False,False,False
1,1,0,0,30,1,1,74.75,2111.3,0,1.0621418083645147,5,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,False,False,False,False,False,True,False,False,True,False
0,0,1,1,45,1,1,25.9,1216.6,0,0.9579976985040277,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,True,False,False,False,True,False
0,0,0,1,1,1,1,79.35,79.35,1,1.0,2,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,True,False,False,False,False,True,False,False,False,False
0,0,1,1,11,0,0,50.55,565.35,0,0.9835500132661182,3,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,False,False,False,False,False,True,False,False,False,False
0,0,1,0,7,1,1,75.15,496.9,1,1.058663715033206,2,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,True,False,False,False,False,False,False,False,False,False
0,0,0,0,42,1,1,103.8,4327.5,0,1.0074176776429808,6,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,True,False,False,False,False,False,False,False,True,False
0,0,1,0,49,1,1,20.15,973.35,0,1.014383315354189,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,False,False,True
1,0,0,0,9,1,1,99.3,918.75,0,0.972734693877551,5,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,True,False,False,False,True,False,False,False,False,False
0,0,1,0,35,1,1,62.15,2215.45,0,0.9818547022049697,3,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,False,False,True,False,False,False,False,False,True,False
0,0,1,1,48,1,0,20.65,1057.0,0,0.9377483443708609,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,False,True,False
0,0,1,1,46,1,1,19.95,927.1,0,0.9898608564340415,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,True,False,True,False
1,0,1,0,29,0,0,33.75,1009.25,0,0.9697795392618281,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,False,False,False,False,False,False,True,False,True,False
1,0,1,1,30,1,0,82.05,2570.2,0,0.9577075713952222,3,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,True,False,False,False,False,False,False,False,True,False
1,1,0,0,1,1,0,74.7,74.7,0,1.0,2,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,True,False,False,False,False,True,False,False,False,False
1,0,1,1,66,1,1,84.0,5714.25,0,0.9702060637878986,7,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,False,False,False,True,False,False,True,False,False,True
0,0,0,0,65,1,1,111.05,7107.0,0,1.015653580976502,7,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,True,False,False,False,True,False,False,False,False,True
1,0,0,0,72,1,1,100.9,7459.05,0,0.9739578096406378,6,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,True,False,False,True,False,False,False,False,False,True
0,0,0,0,12,1,1,78.95,927.35,1,1.021620747290667,3,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,True,False,False,False,False,True,False,False,False,False
1,0,1,1,71,1,1,66.85,4748.7,0,0.9995051277191652,5,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,False,False,True,False,True,False,False,False,False,True
1,0,0,0,5,1,0,21.05,113.85,1,0.9244620114185332,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False,False
1,0,0,0,52,1,0,21.0,1107.2,0,0.986271676300578,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,False,False,True
0,1,1,0,25,1,1,98.5,2514.5,1,0.979319944322927,5,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,True,False,False,False,False,True,False,False,True,False
1,0,0,0,1,1,0,20.2,20.2,0,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False,False
0,0,1,1,1,1,0,19.45,19.45,0,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False,False
1,0,0,0,38,1,0,95.0,3605.6,0,1.001220323940537,5,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,True,False,True,False,False,False,False,False,True,False
0,1,1,0,66,0,0,45.55,3027.25,0,0.9930795276240811,3,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,False,False,True,False,False,False,False,False,False,True
1,0,1,0,68,1,1,110.0,7611.85,1,0.9826783239291368,7,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,True,False,False,True,False,False,False,False,False,True
1,0,0,0,5,0,0,24.3,100.2,0,1.2125748502994012,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,False,False,False,False,False,False,True,False,False,False
0,0,1,1,72,1,1,104.15,7303.05,0,1.0268038696161192,6,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,True,False,True,False,False,True,False,False,False,True
0,0,0,0,32,0,0,30.15,927.65,0,1.0400474316822077,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,False,False,True,False,False,False,True,False,True,False
1,0,0,0,43,1,0,94.35,3921.3,0,1.0346186213755642,4,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,True,False,True,False,False,False,True,False,True,False
1,0,1,1,72,1,0,19.4,1363.25,0,1.0246103062534384,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,True,False,False,False,False,True
1,0,1,0,55,1,1,96.75,5238.9,1,1.0157189486342553,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,True,False,False,False,False,True,False,False,False,True
0,0,0,0,52,1,0,57.95,3042.25,0,0.9905168871723231,4,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,False,False,True,False,True,False,False,False,False,True
0,0,0,0,43,1,1,91.65,3954.1,0,0.9966743380288815,4,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,True,False,False,False,False,True,False,False,True,False
0,1,1,0,37,1,1,76.5,2868.15,1,0.9868730714920767,2,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,True,False,False,False,False,True,False,False,True,False
0,0,1,1,64,0,1,54.6,3423.5,0,1.0207097999123704,4,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,False,False,False,True,False,True,False,False,False,True
1,0,1,1,3,1,0,89.85,248.4,0,1.0851449275362317,4,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,True,False,False,False,False,True,False,False,False,False
0,0,0,0,36,0,0,31.05,1126.35,0,0.9924091090691171,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,False,False,False,True,False,False,False,False,True,False
0,0,1,1,10,1,1,100.25,1064.65,1,0.9416240078899168,5,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,True,False,False,False,False,True,False,False,False,False
0,0,0,0,41,1,0,20.65,835.15,0,1.0137699814404597,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,True,False,True,False
1,0,1,1,27,1,1,85.2,2151.6,0,1.0691578360290017,4,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,True,False,False,False,True,False,False,False,True,False
0,0,1,1,56,1,1,99.8,5515.45,0,1.013299005520855,5,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,True,False,True,False,True,False,False,False,False,True
0,0,0,0,6,1,0,20.7,112.75,0,1.1015521064301552,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False,False
1,0,0,0,3,1,1,74.4,229.55,1,0.9723371814419517,2,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,True,False,False,False,False,True,False,False,False,False
0,0,1,1,7,1,0,50.7,350.35,0,1.012987012987013,2,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,False,False,False,False,False,False,True,False,False,False
0,0,1,1,4,1,0,20.85,62.9,0,1.3259141494435613,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False,False
1,0,0,0,33,1,1,88.95,3027.65,0,0.9695143097782107,4,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,True,False,False,True,False,True,False,False,True,False
0,1,0,0,27,1,1,78.05,2135.5,1,0.9868180753921798,3,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,True,False,False,False,False,True,False,False,True,False
1,0,1,0,72,1,1,23.55,1723.95,0,0.9835552075176195,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,False,False,True
1,0,0,0,1,1,0,19.75,19.75,0,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False,False
1,1,0,0,71,0,1,56.45,3985.35,0,1.0056707691921665,4,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,False,False,True,False,False,True,False,False,False,True
0,0,0,0,13,1,1,85.95,1215.65,0,0.9191379097602106,3,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,True,False,False,False,False,True,False,True,False,False
0,0,1,1,25,0,1,58.6,1502.65,1,0.9749442651316008,5,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,False,False,False,False,True,False,False,False,True,False
1,0,0,0,67,1,0,50.55,3260.1,0,1.0388791754854145,2,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,False,False,False,True,False,False,False,False,False,True
1,0,0,0,1,0,1,35.45,35.45,1,1.0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,False,False,False,False,False,True,False,False,False,False
1,0,0,0,2,1,0,44.35,81.25,1,1.0916923076923077,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,False,False,False,False,False,True,False,False,False,False
0,0,0,0,43,1,1,25.7,1188.2,0,0.9300622790775962,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,True,False,False,False,True,False
0,0,0,0,23,1,1,75.0,1778.5,0,0.9699184706213101,2,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,True,False,False,False,False,False,False,True,False,False
0,0,1,1,64,1,0,20.2,1277.75,0,1.011778516924281,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,True,False,False,True
1,0,0,1,57,1,1,19.6,1170.55,0,0.9544231344239889,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,True,False,False,True
0,1,1,0,1,1,1,70.45,70.45,1,1.0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,True,False,False,False,False,False,True,False,False,False
0,1,1,1,72,1,1,88.05,6425.65,0,0.9866083586874479,8,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,False,False,False,True,True,False,False,False,False,True
0,0,0,0,8,1,0,71.15,563.65,1,1.0098465359709041,5,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,False,False,False,False,False,True,False,False,False,False
0,0,1,0,61,1,1,101.05,5971.25,0,1.0322880468913544,5,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,True,False,False,True,False,False,False,False,False,True
1,0,0,0,64,1,1,84.3,5289.05,0,1.0200697667823144,4,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,True,False,True,False,True,False,False,False,False,True
1,1,1,0,71,1,0,23.95,1756.2,0,0.9682553239949891,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,False,False,True
0,0,1,1,65,1,1,99.05,6416.7,0,1.0033584241120825,6,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,True,False,False,True,True,False,False,False,False,True
1,0,0,0,3,1,0,19.6,61.35,0,0.958435207823961,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,False,True,False,False,False
1,0,0,0,1,1,1,45.65,45.65,1,1.0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,False,False,False,False,False,True,False,False,False,False
1,0,0,1,30,1,0,64.5,1929.95,0,1.0026166480996916,4,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,False,False,True,False,True,False,False,False,True,False
1,0,1,1,15,1,1,69.5,1071.4,0,0.9730259473585962,5,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,False,False,False,False,False,False,True,True,False,False
0,0,1,1,8,1,1,68.55,564.35,0,0.9717373970054044,4,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,False,False,False,False,False,True,False,False,False,False
1,0,0,0,7,1,0,95.0,655.5,1,1.0144927536231885,4,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,True,False,False,False,False,False,True,False,False,False
